palabra ,clave,codigo de contenido
Yosoy132,YOSOY132,MOVEMENT
OPOSICIÓN,YOSOY133,MOVEMENT
OPOSICION,YOSOY134,MOVEMENT
132,YOSOY135,MOVEMENT
YOSOY,YOSOY136,MOVEMENT
YOSOY132MEDIA,YOSOY137,MOVEMENT
REVOLUCION 132,YOSOY138,MOVEMENT
SOY132MX,YOSOY139,MOVEMENT
YOSOY132JALAPA,YOSOY140,MOVEMENT
PODRALAUNAM,YOSOY141,MOVEMENT
PEÑA,EPN,POLITICAL CLASHES
EPN,EPN,POLITICAL CLASHES
ANTIEPN,EPN,POLITICAL CLASHES
FUERAEPN,EPN,POLITICAL CLASHES
EPNNOSERAMIPRESIDENTE,EPN,POLITICAL CLASHES
EPNNUNCASERAMIPRESIDENTE,EPN,POLITICAL CLASHES
PENANIETO,EPN,POLITICAL CLASHES
ANIPENA,EPN,POLITICAL CLASHES
ANIPENANIETO,EPN,POLITICAL CLASHES
PENA,EPN,POLITICAL CLASHES
PEÑABOTS,EPN,POLITICAL CLASHES
PEÑAMIENTE,EPN,POLITICAL CLASHES
FUERAPEÑA,EPN,POLITICAL CLASHES
CORRUPCIÓN,CORRUPTION,REFLEXIVE
CORRUPCION,CORRUPTION,REFLEXIVE
CORRUPTO,CORRUPTION,REFLEXIVE
CORRUPTAS,CORRUPTION,REFLEXIVE
PRICORRUPTO,CORRUPTION,REFLEXIVE
FRAUDE,CORRUPTION,REFLEXIVE
FRAUDEELECTORAL2012,CORRUPTION,REFLEXIVE
FRAUDE2012,CORRUPTION,REFLEXIVE
NOALXFRAUDEELECTORAL,CORRUPTION,REFLEXIVE
MARCHA,MOBILIZATION,MOBILIZATION
 MOBILIZACION,MOBILIZATION,MOBILIZATION
MOBILIZACIONES,MOBILIZATION,MOBILIZATION
MOVIMIENTO,MOBILIZATION,MOBILIZATION
MEGAMARCHA,MOBILIZATION,MOBILIZATION
MARCHAS,MOBILIZATION,MOBILIZATION
MARCHAN,MOBILIZATION,MOBILIZATION
MEGAMARCHAANTIEPN,MOBILIZATION,MOBILIZATION
2AMEGAMARCHA,MOBILIZATION,MOBILIZATION
2DAMEGAMARCHAANTIEPN ,MOBILIZATION,MOBILIZATION
MARCHAANTIEPN,MOBILIZATION,MOBILIZATION
2NDMEGAMARCHA,MOBILIZATION,MOBILIZATION
MARCHANDO,MOBILIZATION,MOBILIZATION
MARCHARÁN,MOBILIZATION,MOBILIZATION
MARCHARAN,MOBILIZATION,MOBILIZATION
MARCHARÍAN,MOBILIZATION,MOBILIZATION
CIUDADANA,CIVIL PARTICIPATION,CIVIL CLASHES
CIUDADANOS,CIVIL PARTICIPATION,CIVIL CLASHES
CIUDADANO,CIVIL PARTICIPATION,CIVIL CLASHES
POLITICORRUPTO,CORRUPT PROTESTS,POLITICAL CLASHES
CORRUPTA,CORRUPT PROTESTS,POLITICAL CLASHES
CORRUPTOS,CORRUPT PROTESTS,POLITICAL CLASHES
RECHAZO,SOCIAL UNREST,TACTIC
FUERA,SOCIAL UNREST,LEADERSHIP
FUERAPRI,SOCIAL UNREST,LEADERSHIP
SEGURIDAD,SOCIAL UNREST,LEADERSHIP
ATENCO,SOCIAL UNREST,LEADERSHIP
,,
