"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@RedGeneracion","Red Generación","el5antuario: Destaca #YoSoy132 a activistas de Atenco http://t.co/iSzN2ziN","0","4","0","1342310344000","14 Jul 2012","RedGeneracion/status/224291955801206784","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@trailer88","ANTONIO RAMOS DIAZ","La Jornada: El costo de un fraude electoral http://t.co/pK31FLQL vía @sharethis #NoEsDeDios #Sabado #AntiEPN #YoSoy132 @elvalerioloco","0","0","0","1342300798000","14 Jul 2012","trailer88/status/224251918355136512","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","NoEsDeDios | Sabado | AntiEPN | YoSoy132"
"@fjespriella","Feliciano Espriella","@oliversne No, lo que se escuché es que hoy hay una asamblea nacional en el DF de #yosoy132 para definir estrategias futuras del movimiento","1","0","0","1342295585000","14 Jul 2012","fjespriella/status/224230055537156097","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","yosoy132"
"@gerardoavina","Jerry","@chaac_tlaloc este pronostico parece encuesta #mitofsky donde casi todos quisieran que #fabio se acerque pero en realidad se va. #yosoy132","0","0","0","1342296463000","14 Jul 2012","gerardoavina/status/224233734805798913","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","mitofsky | fabio | yosoy132"
"@Shinsengumi_Gp","Shinsengumi","Violan a 7 mujeres en Edomex #YoSoy132 #yosoy99 #YoSoy132Media #2daMegamarchaAntiEPN #MexicoExigeDemocracia http://t.co/OgzxJoQw","0","1","0","1342305414000","14 Jul 2012","Shinsengumi_Gp/status/224271280302596096","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132 | yosoy99 | YoSoy132Media | 2daMegamarchaAntiEPN | MexicoExigeDemocracia"
"@AlxFreire","Alejandro Freire","Hoy no se iban a volver a manifestar los de #yosoy132","0","0","0","1342294355000","14 Jul 2012","AlxFreire/status/224224896786497538","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","yosoy132"
"@tlatoani_","ElEstu","""@CNNMex: BLOG: #YoSoy132 se reúne con más de 60 organizaciones en San Salvador Atenco http://t.co/mI1EoG9e""","0","0","0","1342303075000","14 Jul 2012","tlatoani_/status/224261471272583169","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@tazy","Tía Tazy","Chale, creo que la primer asamblea #yosoy132 que se va a ir al demonio es la de Aguascalientes.","0","0","0","1342294045000","14 Jul 2012","tazy/status/224223595872788480","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","yosoy132"
"@nosotros132","ciento treinta y dos","#YoSoy132 #primaveramexicana #revolucion132 #AFPN #antiEPN marcha 14 de julio http://t.co/Fe1d9xwt","0","1","0","1342301094000","14 Jul 2012","nosotros132/status/224253159613284353","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132 | primaveramexicana | revolucion132 | AFPN | antiEPN"
"@marcelapra","Marcela Pra","Ahora le dicen ""Marcha vs la imposición"" jaja estos chavos de #YoSoy132 se avientan cada puntada. EPN es ""imposición"", lo demás si es valido","0","0","0","1342301793000","14 Jul 2012","marcelapra/status/224256092299988994","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@YortchMX","Yortch","San Salvador Atenco, Méx. Integrantes del movimiento #YoSoy132 comenzaron la Convención Nacional contra la Imposición http://t.co/aWF4Esq3","0","0","0","1342307042000","14 Jul 2012","YortchMX/status/224278104942710784","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@angelkns","Angel HR","@anonopshispano este video es de san jose ca. #ANTIPEÑA #YOSOY132 @el5anto @AnonymousMexi @N8mare_23 http://t.co/8jCPiAXk","0","0","0","1342294463000","14 Jul 2012","angelkns/status/224225348869554176","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","ANTIPEÑA | YOSOY132"
"@ZavaLeti_Moro","ZavaLeti","los hijos de hitler no pueden gobernar este gran pais,FUERA PEÑA, #yosoy132 #MegaMarcha #radioamlo #vivirviviendoamlo #yoconamlo #amlo","0","0","0","1342298204000","14 Jul 2012","ZavaLeti_Moro/status/224241040486449152","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","yosoy132 | MegaMarcha | radioamlo | vivirviviendoamlo | yoconamlo | amlo"
"@saramedinam","Sara Medina","RT “@YoSoy132Media: El Dipuhooligan amenaza a los del #YoSoy132: “Si quieren madriza, madriza van a tener"" http://t.co/D2oaaNdg” // :O :S","0","0","0","1342301780000","14 Jul 2012","saramedinam/status/224256037845344256","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@fufalopolus","Arnulfo","La Jornada en Internet: Se reúne #YoSoy132 en Atenco contra la imposición http://t.co/t7SVikxZ via @sharethis @mexenex @MelissaLaLinea","0","2","0","1342294598000","14 Jul 2012","fufalopolus/status/224225913989120000","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@YOKANDROLL","33-12 Tenemos un 33-12!","#Yosoy132 convoca a reunirse de “inmediato” en Asambleas y organizaciones “para discutir qué hacer ante la imposición y cómo hacerlo”.","2","6","0","1342307281000","14 Jul 2012","YOKANDROLL/status/224279111063977984","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","Yosoy132"
"@gbalp","GBB","Es ahora o nunca!! Ni un paso atras#Megamarcha Mundial (22 ciudades) TIENES QUE VERLO!! #Yosoy132 @pacocjc http://t.co/OckHJfTq vía @youtube","0","0","0","1342296418000","14 Jul 2012","gbalp/status/224233548155068417","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","Yosoy132"
"@Ybarronorte","Carlos Esteban","que se canceló la marcha #yosoy132 ??? #Acapulco #NoPuedeSer y Luego? por que sería? No hay interés?","3","1","2","1342308718000","14 Jul 2012","Ybarronorte/status/224285136064217089","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","yosoy132 | Acapulco | NoPuedeSer"
"@alex_lion22","Grinderella","Puras Mamadas con esos #YoSoy132","0","0","0","1342293216000","14 Jul 2012","alex_lion22/status/224220119113539586","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@arayamas","Rafael Araya Masry","Se reúne #YoSoy132 en Atenco contra la imposición http://t.co/0hw4JLmm","0","3","0","1342294522000","14 Jul 2012","arayamas/status/224225594047610880","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
"@rommiefdz","Romina Fdz. S. R.","Si la queremos armar en grande, podemos movilizar a los borreguitos del #YoSoy132 y nuestros aliados de siempre, Atenco, SME y los demás.","0","1","0","1342296042000","14 Jul 2012","rommiefdz/status/224231970845114368","https://twitter.com/search?lang=es&q=%23Yosoy132%20%20(%23yosoy132)%20lang%3Aes%20until%3A2012-07-15%20since%3A2012-05-15&src=typed_query","YoSoy132"
